"abbreviation","description","contexts"
"АФС","Активная фармацевтическая субстанция","...ботанные на активной фармацевтической субстанции (АФС) двух разных производителей: серия 010617 произво..."
"ГЛФ","Готовая лекарственная форма","...етки белого или почти белого цвета. Производитель ГЛФ: АО «ОРТАТ», Россия (Костромская область, с. Севе..."
"ЕАЭС","Евразийский Экономический Союз","...ных требований Евразийского Экономического Союза (ЕАЭС), а также международных требований (EMA и FDA) к ... ...мечается линейность в соответствии с требованиями ЕАЭС, указанными выше. В таблице ниже представлены рез... ...регламентируется Приложением №10 к Решению Совета ЕАЭС №85 (далее – Правила) «Требования к проведению фа..."
"ИМП","Инструкция по медицинскому применению","...нейности фармакокинетики микофеноловой кислоты. В ИМП оригинального препарата Майфортик® указано, что ф..."
"КИ","Клинические исследования","...епарата – MKF-TL и препарата, использовавшегося в КИ БЭ по протоколу № 200916-MKF-TL-01 (Модуль 5, раз..."
"МНН","Международное непатентованное наименование","...ИСЛОТА-ТЛ. Внутреннее название препарата: MKF-TL. МНН: микофеноловая кислота. Лекарственная форма: табл..."
"ОХЛП","Общая характеристика лекарственного препарата","...но общей характеристике лекарственного препарата (ОХЛП) его следует принимать натощак или после еды (как... ...ует принимать натощак или после еды (как в случае ОХЛП микофеноловой кислоты):  Однако, при должном обос..."
"НПКО","Нижний предел количественного определения","...ления. Нижний предел количественного определения (НПКО) составил 0,020 мкг/мл. Добровольцы, успешно прош..."
"НЯ","Нежелательное явление","...юдалось также носовое кровотечение. Все описанные НЯ разрешились полностью самостоятельно. Доброволец ... ...исследования у них, за исключением выбывшей из-за НЯ женщины-добровольца и отказавшегося от участия в ... ...добровольцы опрашивались на предмет возникновения НЯ вне зависимости от связи с приемом препарата. Суб... ...нии участия здоровых добровольцев в КИ по причине НЯ в открытых литературных источниках представлены в... ...о: Наиболее распространенными и часто сообщаемыми НЯ при приеме лакосамида были головокружение, головн... ...ь, диплопия, тошнота. Обнаружены некоторые редкие НЯ, например, лекарственная гиперчувствительность, а... ... и >5%) наблюдались слабо или умеренно выраженные НЯ, такие как алопеция, мышечный спазм, снижение апп... ...ния (17%), анемия (14%). Отмена терапии в связи с НЯ потребовалась 16% пациентов с ХМЛ в хронической ф... ...иарея, рвота и миалгия. Большинство вышеуказанных НЯ были слабо или умеренно выражены. Менее часто (<1... ...влены НЯ с неизвестной частотой. Частота развития НЯ, отмечаемых более чем в 5% случаев, представлена ... ...е часто чем до отмены терапии возникать следующие НЯ: симптомы со стороны скелетно-мышечной системы, т... ... нечасто (>1/1000, <1/100), отдельно представлены НЯ с неизвестной частотой. Частота развития НЯ, отме... ...нибом не отмечено увеличения интервала QT >60 мс. НЯ перечисленные ниже, сгруппированы по органам и си... ...0%) негематологическими нежелательными явлениями (НЯ), связанными с применением препарата, были: кожна... ... получавших терапию нилотинибом, чаще развивались НЯ, приводившие к временному или полному прекращению... ... или длительные) не наблюдались. Гематологические НЯ, включая миелосупрессию: тромбоцитопения (31%), н..."
"СНЯ","Серьёзное нежелательное явление","...я исследования не было зарегистрировано ни одного СНЯ или летального исхода. Количество зарегистрирован... ...я исследования не было зарегистрировано ни одного СНЯ или летального исхода. На протяжении всего исслед..."
"ТСКР","Тест сравнительной кинетики растворения","...ия биоэквивалентности было проведено исследование ТСКР исследуемого препарата MKF-TL, таблетки кишечнора... ...е исследования, проведенные для дозировки 360 мг  ТСКР, проведенный с целью выбора производителя субстан... ...ультаты теста сравнительной кинетики растворения (ТСКР) приведены в таблице 7-2.  Таблица 7-2. Результат... ...е исследования, проведенные для дозировки 180 мг  ТСКР, проведенный с целью выбора производителя субстан... ...лью подтверждения биоэквивалентности препаратов.  ТСКР, проведенный с целью замены клинического исследов... ...удет подтверждена выполненными надлежащим образом ТСКР для оценки сопоставимости профилей растворения in... ... свойств препаратов. Также по результатам данного ТСКР для проведения клинического исследования биоэквив... ...буферный раствор pH 6,8 (среда по НД), результаты ТСКР позволяют предполагать также эквивалентность фарм... ...ультаты теста сравнительной кинетики растворения (ТСКР) позволяют предполагать также эквивалентность фар... ...ультаты теста сравнительной кинетики растворения (ТСКР) приведены в таблице 7-1.  Таблица 7-1. Результат..."
"УФ","Ультрафиолет","...есчете на микофеноловую кислоту проводили методом УФ-спектрометрии. По результатам исследования кинети... ...есчете на микофеноловую кислоту проводили методом УФ-спектрометрии. Эквивалентность кинетики растворен... ...есчете на микофеноловую кислоту проводили методом УФ-спектрометрии. Среднее значение количества микофе..."
"EMA","European Medicines Agency","...о Союза (ЕАЭС), а также международных требований (EMA и FDA) к воспроизведенным препаратам. Оригинальны... .... Doc. Ref.: CPMP/EWP/QWP/1401/98 Rev. 1/ Corr ** EMA. ICH Topic E 9 Statistical Principles for Clinica... ... = 0.95 ABE limits / PE constraint = 0.8 ... 1.25 EMA regulatory settings - CVswitch  = 0.3 - cap on sc..."
"FDA","U.S. Food and Drug Administration","...а (ЕАЭС), а также международных требований (EMA и FDA) к воспроизведенным препаратам. Оригинальный преп... ...linical trials. September 1998 (CPMP/ICH/363/96). FDA. Guidance for Industry. Bioavailability and Bioeq... .... Также имеется продукт-специфическое руководство FDA для микофеноловой кислоты в лекарственной форме т..."
"RSD","Residual standard deviation, остаточное стандартное отклонение","...ндартное отклонение (residual standard deviation, RSD) более 20%, поэтому приведенные данные носят инфо... ...новного вещества слишком низкая и, как следствие, RSD более 20%, поэтому приведенные данные носят инфор..."
"AUC","Площадь под фармакокинетической кривой «концентрация-время»","...200 мг 2 р/сут) на основе значений Cmax (1,2) или AUC (0,9) не было установлено.  Пренатальное и послер... ...самида в дозе 200 мг/кг составила 241,2 мкг/мл, а AUC(0-6ч) - 768 мкг·ч/мл, что дает пределы по сравнен... ... на основе Cmax и 2,7/2,2 (самцы/самки) на основе AUC. У крыс из-за снижения токсичности у самок, получ... ...я человека (200 мг 2 р/сут) 22,1 и 7,7 для Cmax и AUC, соответственно. Для исследования UDS, основанног... ...амцов и самок, соответственно, на основе значений AUC.  Эмбриофетальная токсичность  У крыс не было пол... ...амцов и самок, соответственно, на основе значений AUC. У кроликов не было получено данных о тератогенно... ...) составляет 2,7 для Cmax и отсутствует (1,0) для AUC. Крысам вводили лакосамид в дозе до 180 мг/кг пер... ...ованный на Cmax, составлял 2,3, а предел значений AUC установлен не был. При NOAEL > 200 мг/кг разница ... ... человека (200 мг 2 р/сут) 2,4 для Cmax и 3,0 для AUC. Собакам лакосамид вводили перорально в дозе до 2... ...ляют 4,9 в пересчете на Cmax и 5,9 в пересчете на AUC.  Репродуктивная и онтогенетическая токсичность  ..."
