"abbreviation","description","contexts"
"АЛТ","Аланинаминотрасфераза","...ы биохимических показателей наблюдались повышение АЛТ (24%), гипербилирубинемия (16%), повышение АСТ (1... ...онения, представленные преимущественно повышением АЛТ, АСТ, липазы. Прием лекарственных препаратов, хар..."
"АЧТВ","Активированное частичное тромбопластиновое время","...боцитов, уменьшение массы эритроцитов, увеличение АЧТВ) при внутрижелудочном введении нилотиниба в дозе>..."
"NOAEL","No observed adverse effect level","... отмечено не было. В 12-месячном исследовании при NOAEL (10 мг/кг) Cmax составляла 14 мкг/мл, а  - 71 мкг... ...ь, антигенность, иммунотоксичность, зависимость). NOAEL составляла 31,6 мг/кг как у мышей, так и у крыс п... ...емой, были очевидны уже при этом уровне дозы. При NOAEL Cmax была равна 29 мкг/мл, а AUC0-24ч - 97 мкг·ч/... ...амок. В исследовании с внутривенным введением при NOAEL (8 мг/кг) Cmax составила 13 мкг/мл, а  - 48 мкг·ч... ...лица 3-2. Экспозиция лакосамида при доклинической NOAEL и прогнозируемая экспозиция у человека при примен... ...ртами GLP.  Токсичность при однократном введении  NOAEL составляла 31,6 мг/кг как у мышей, так и у крыс п... ...ых дозолимитирующих эффектов. Предполагалось, что NOAEL составляет 60 мг/кг, хотя незначительные эффекты,... ... 6-месячном исследовании при приеме внутрь в дозе NOAEL (90 мг/кг) Cmax составила 26 мкг/мл, а  - 299 мкг... ...емой, были очевидны уже при этом уровне дозы. При NOAEL Cmax была равна 29 мкг/мл, а AUC0-24ч - 97 мкг·ч/... ...ых дозолимитирующих эффектов. Предполагалось, что NOAEL составляет 60 мг/кг, хотя незначительные эффекты,... ...отоксичности у кроликов составлял 100 мг/кг/день. NOAEL, установленные у крыс и кроликов, соответствовали... ...нов. По результатам исследований были установлены NOAEL токсичности для материнского организма равная 100... ...системы. Основываясь на результатах исследования, NOAEL для эмбриотоксичности у кроликов составлял 100 мг... ...нского организма равная 100 мг/кг/день, тогда как NOAEL для эмбриотоксичности равнялась <20 мг/кг/день [3..."
"VEGFR","Vascular Endothelial Growth Factor Receptor","...цию клеток, экспрессирующих другие тирозинкиназы (VEGFR, Jak-2, EGFR, Ras, PKB и др.) [8, 10]. Нилотиниб ..."
"PKB","Protein Kinase B","...их другие тирозинкиназы (VEGFR, Jak-2, EGFR, Ras, PKB и др.) [8, 10]. Нилотиниб подавлял пролиферативну..."
"АТФ","Аденозинтрифосфат","...бладает высоким сродством к участкам связывания с АТФ и, таким образом, оказывает выраженное ингибирующ... ... Препарат прочно связывается в области связывания АТФ, формируя таким образом мощный ингибитор дикого т... ... мишенью нилотиниба является участок связывания с АТФ, отвечающий за тирозинкиназную активность онкопро... ...оза [5]. Нилотиниб блокирует участок связывания с АТФ, отвечающий за тирозинкиназную активность онкопро... ...ю нилотиниба является участок связывания молекулы АТФ с белком BCR-Abl, отвечающий за тирозинкиназную а... ...более прочные связи в участке связывания молекулы АТФ с белком BCR-Abl, что привело к усилению блокирую..."
"РФ","Российская Федерация","...ного препарата, зарегистрированного на территории РФ Тасигна®, представляется возможным обращение к на..."
"ПЦР-РВ","Реакция полимеразной цепной реакции в реальном времени","...по международной шкале (IS), измеренной с помощью ПЦР-РВ, что соответствует ≥3 log сокращению транскрипции..."
"EMA","European Medicines Agency","...о Союза (ЕАЭС), а также международных требований (EMA и FDA) к воспроизведенным препаратам. Оригинальны... .... Doc. Ref.: CPMP/EWP/QWP/1401/98 Rev. 1/ Corr ** EMA. ICH Topic E 9 Statistical Principles for Clinica... ... = 0.95 ABE limits / PE constraint = 0.8 ... 1.25 EMA regulatory settings - CVswitch  = 0.3 - cap on sc..."
"ГМГ-КоА","Гидрокси-метилглютарил-кофермент А","...рожность при необходимости применения ингибиторов ГМГ-КоА-редуктазы (гиполипидемические средства) одновреме... ...зофермента CYP3A4 (например, некоторые ингибиторы ГМГ-КоА редуктазы), их системная экспозиция может увеличи... ...ольку путь метаболических превращений ингибиторов ГМГ-КоА-редуктазы происходит при участии изофермента CYP3..."
"УФ","Ультрафиолет","...есчете на микофеноловую кислоту проводили методом УФ-спектрометрии. По результатам исследования кинети... ...есчете на микофеноловую кислоту проводили методом УФ-спектрометрии. Эквивалентность кинетики растворен... ...есчете на микофеноловую кислоту проводили методом УФ-спектрометрии. Среднее значение количества микофе..."
"FDA","U. S. Food and Drug Administration","...а (ЕАЭС), а также международных требований (EMA и FDA) к воспроизведенным препаратам. Оригинальный преп... ...linical trials. September 1998 (CPMP/ICH/363/96). FDA. Guidance for Industry. Bioavailability and Bioeq... .... Также имеется продукт-специфическое руководство FDA для микофеноловой кислоты в лекарственной форме т..."
"ФВЛЖ","Фракция выброса левого желудочка","...нижения средней фракции выброса левого желудочка (ФВЛЖ) не наблюдалось, ни у одного пациента не отмечало... ...ациента не отмечалось ни ФВЛЖ <45% з, ни снижения ФВЛЖ более чем на 15%. Прекращение терапии из-за НР на... ...аблюдалось, ни у одного пациента не отмечалось ни ФВЛЖ <45% з, ни снижения ФВЛЖ более чем на 15%. Прекра..."
"PDGFR","Platelet derived growth factor receptor","... и некоторых мутантных видов тирозинкиназ c-kit и PDGFR. При этом активность препарата в клеточных линиях..."
"ТСКР","Тест сравнительной кинетики растворения","...ия биоэквивалентности было проведено исследование ТСКР исследуемого препарата MKF-TL, таблетки кишечнора... ...е исследования, проведенные для дозировки 360 мг  ТСКР, проведенный с целью выбора производителя субстан... ...ультаты теста сравнительной кинетики растворения (ТСКР) приведены в таблице 7-2.  Таблица 7-2. Результат... ...е исследования, проведенные для дозировки 180 мг  ТСКР, проведенный с целью выбора производителя субстан... ...лью подтверждения биоэквивалентности препаратов.  ТСКР, проведенный с целью замены клинического исследов... ...удет подтверждена выполненными надлежащим образом ТСКР для оценки сопоставимости профилей растворения in... ... свойств препаратов. Также по результатам данного ТСКР для проведения клинического исследования биоэквив... ...буферный раствор pH 6,8 (среда по НД), результаты ТСКР позволяют предполагать также эквивалентность фарм... ...ультаты теста сравнительной кинетики растворения (ТСКР) позволяют предполагать также эквивалентность фар... ...ультаты теста сравнительной кинетики растворения (ТСКР) приведены в таблице 7-1.  Таблица 7-1. Результат..."
"АФС","Активная фармацевтическая субстанция","...ботанные на активной фармацевтической субстанции (АФС) двух разных производителей: серия 010617 произво..."
"ПМО","Полный молекулярный ответ","...ольных со стабильным полным молекулярным ответом (ПМО). ООО «Технология лекарств» разработан воспроизве... ...О, но и стабильного полного молекулярного ответа (ПМО). Это позволило бы вплотную подойти к возможности..."
"БЦО","Большой цитогенетический ответ","... частота ПГО и большого цитогенетического ответа (БЦО) у больных в ХФ, ФА и БК составила 92 и 35%, 74 и... ...клинических исследований. Частота достижения ПГО, БЦО и ПЦО была высокой и почти не различалась в групп... ...ь. Первичной конечной точкой у пациентов в ХФ был БЦО, определяемый как элиминация (ПЦО, полный цитоген..."
"БМО","Большой молекулярный ответ","...bl вплоть до повторного достижения предшествующих БМО или МО 4.0. Соответствие критериям отмены терапии... ...кже на протяжении периода без лечения. При потере БМО или подтвержденной потере МО 4.0 (два последовате... ...,7% и 22,3%соответственно, р <0,0001). Показатели БМО на 3, 6, 9 и 12 месяцев составили 8,9%, 33,0%, 43... ...44,3% и 22,3% соответственно; р <0,0001). Частота БМО за 12 месяцев также была статистически достоверно... ...кой эффективности был большой молекулярный ответ (БМО) через 12 месяцев. БМО определяли как ≤0,1% BCR-A... ...недели, подтверждающих потерю МО 4.0) или потерей БМО лечение препаратом следует возобновить в течение ... ...авлением опухолевого клона, достигающих не только БМО, но и стабильного полного молекулярного ответа (П... ...ию транскрипции относительно исходных. Показатель БМО за 12 месяцев был статистически достоверно выше д... ...ольшой молекулярный ответ (БМО) через 12 месяцев. БМО определяли как ≤0,1% BCR-Abl / ABL% по международ... ...кже на протяжении периода без лечения. При потере БМО или подтвержденной потере МО 4.0 (2 последователь..."
"AUC","Area Under the Curve","...ом, данные способы применения эквивалентны как по AUC, так и по Cmax. 4.1.1.3. Исследование фармакокине... ...о ингибировали изофермент CYP3A4 и Р-ГП, при этом AUC иматиниба повышалась на 18-39%, a AUC нилотиниба ... ...го уровня нилотиниба в плазме человека (по данным AUC). Следовательно, для данного вида токсичности коэ... ..., чем при применении в дозе 800 мг 1 раз в сутки. AUC нилотиниба при приеме в дозе 400 мг 2 раза в сутк... ...ении фармакокинетических исследованиях (по данным AUC) на крысах после введения повторных доз, по сравн... ...способы введения демонстрируют эквивалентность по AUC, но не по Cmax. При однократном приеме нилотиниба... ... концентраций препарата в плазме крови (по данным AUC) после введения повторных доз, по сравнению с одн... ...однократном приеме препарата наблюдалось снижение AUC нилотиниба на 35%, 35% и 19% у пациентов с наруше... ...(Сmах) и площадь под кривой «концентрация-время» (AUC) нилотиниба повышались на 112% и 82%, соответстве... ... доз Для препарата нилотиниб, на основании данных AUC в плазме крови животных, в пересчёте на значения ..."
"ХМЛ","Хронический миелолейкоз","... лет [34]. Еще более редкие случаи заболеваемости ХМЛ у детей. Заболеваемость увеличивается с возрастом... ...4]. В 2012 году во Всероссийском Регистре больных ХМЛ насчитывалось 5655 пациентов, из них 93,1 % — в х... ...ение Ph-положительного хронического миелолейкоза (ХМЛ) включало применение гидроксимочевины, интерферон... ...l является обязательным для установления диагноза ХМЛ. Приблизительно 95% пациентов с хроническим миело... ...или его непереносимости. Хронический миелолейкоз (ХМЛ) — редкое заболевание. Число первичных больных в ... ...ических стволовых клетках. Уникальная особенность ХМЛ — наличие специфического маркера в опухолевых кле... ...иагностикой и лечением хронического миелолейкоза (ХМЛ) кардинально изменилась. Появление препаратов, ун... ... шести с половиной тысяч и более. Патогенетически ХМЛ представляет собой клональный миелопролиферативны... ...ло к быстрому и значительному прогрессу в лечении ХМЛ, а также к важным изменениям в тактике ведения бо... ...(1,2:1). Медиана возраста составляет 11 лет [31]. ХМЛ – двух- или трехфазная болезнь. Начальный, или хр..."
"ГЛФ","Готовая лекарственная форма","...етки белого или почти белого цвета. Производитель ГЛФ: АО «ОРТАТ», Россия (Костромская область, с. Севе..."
"ОХЛП","Общая характеристика лекарственного препарата","...но общей характеристике лекарственного препарата (ОХЛП) его следует принимать натощак или после еды (как... ...ует принимать натощак или после еды (как в случае ОХЛП микофеноловой кислоты):  Однако, при должном обос..."
"ВГН","Верхняя граница нормы","... увеличении активности липазы крови в 2 раза выше ВГН, концентрации билирубина в 3 раза выше ВГН или «п... ...а выше ВГН, концентрации билирубина в 3 раза выше ВГН или «печеночных» трансаминаз в 5 раз выше ВГН доз... ...ыше ВГН или «печеночных» трансаминаз в 5 раз выше ВГН дозу нилотиниба рекомендуется снизить до 400 мг 1... ... плазме крови в 1,5 раза > верхней границы нормы (ВГН)). Поскольку почки не играют существенной роли в ..."
