abbreviation,description
14C,Меченый радиоактивным изотопом углерод
14C-AMG,14c-alpha-methyl-glucopyranoside (14c-альфа-метил-глюкопиранозид)
14C-DOG,14c-deoxy-glucose (14c-дезоксиглюкоза)
3T3 NRU,"3t3 neutral red ultraviolet (клеточная линия фибробластов мышей-альбиносов): тест для оценки цитотоксичности, основанный на окрашивании нейтральным красным"
3TC,lamivudine (ламивудин)
5-HT1b,5-hydroxytryptamine receptor 1b (рецептор 5-гидрокситриптамина 1b)
A:H exposure,Animal:human exposure (сравнение воздействия между животными и человеком)
ABC,Abacavir (абакавир)
ACALA,Acalabrutinib (акалабрутиниб)
ACE,Angiotensin-converting enzyme (ангиотензин-превращающий фермент)
ACQ,Asthma control questionnaire (опросник по контролю над астмой)
ACR,American college of rheumatology (американский колледж ревматологии)
ACR20,American college of rheumatology 20 (достижение 20% улучшения по критериям американского колледжа ревматологии)
ACR30,American college of rheumatology 30 (достижение 30% улучшения по критериям американского колледжа ревматологии)
ACR50,American college of rheumatology 50 (достижение 50% улучшения по критериям американского колледжа ревматологии)
ACR70,American college of rheumatology 70 (достижение 70% улучшения по критериям американского колледжа ревматологии)
ACT,Asthma control test (тест по контролю над астмой)
ADA,Adalimumab (адалимумаб)
ADA,American diabetes association (американская диабетологическая ассоциация)
ADME,"Absorption, distribution, metabolism, and excretion (всасывание, распределение, метаболизм и выведение)"
AGRP,Agouti-related peptide (агути-подобный пептид)
ALBI,Albumin-bilirubin score (шкала альбумин-билирубин)
AMG,Alpha-methyl-glucopyranoside (метилглюкопиранозид)
ANOVA,Analysis of variance (дисперсионный анализ)
ANP,Atrial natriuretic peptide (предсердный натрийуретический пептид)
ANZUP,Australian and new zealand urogenital and prostate cancer trials group (австралийско-новозеландская группа по изучению урогенитального рака и рака предстательной железы)
AP-1,Activator protein 1 (активирующий белок 1)
APC,Adenomatous polyposis coli (ген аденоматозного полипоза толстой кишки)
APN,Aminopeptidase n (аминопептидаза n)
APP,Amyloid beta precursor protein (предшественник бета-амилоида)
AQLQ,Asthma quality of life questionnaire (опросник оценки качества жизни у больных бронхиальной астмой)
AR,Acute rejection (острое отторжение)
AR+,"Androgen receptor-positive (позитивная по рецептору андрогена): опухоль, экспрессирующая андрогеновые рецепторы"
ARC,Arcuate nucleus (аркуатное ядро гипоталамуса)
ARNI,Angiotensin receptor-neprilysin inhibitor (ингибитор рецепторов ангиотензина и неприлизина)
ARVPR,Antiretroviral pregnancy registry (регистр по применению антиретровирусных препаратов)
ASA,Active systemic anaphylaxis (активная общая анафилактическая реакция)
ASAS20,Assessment of spondyloarthritis international society 20 (20% улучшение по шкале оценки международного общества по изучению спондилоартритов)
ASCO,American society of clinical oncology (американское общество клинической онкологии)
ASH,American society of hematology (американское общество гематологии)
AT-II,Angiotensin ii (ангиотензин ii)
AT-III,Antithrombin iii (антитромбин iii)
AT1,Angiotensin ii type 1 receptor (рецептор ангиотензина ii типа 1)
ATA,Anti-topoisomerase antibodies (антитела к топоизомеразе)
ATV,Atazanavir (атазанавир)
ATV/c,"Atazanavir/cobicistat (атазанавир, бустированный кобицистатом)"
ATV/r,Atazanavir/ritonavir (атазанавир/ритонавир)
AUC,Area under the curve (площадь под кривой «концентрация-время»): суммарная концентрация лекарственного препарата в плазме крови за всё время наблюдения
AUC(0-24),Area under the curve from 0 to 24 hours (площадь под кривой «концентрация-время» от нуля до 24 часов): отражает экспозицию препарата в течение первых суток
AUC(0-72),Area under the curve from 0 to 72 hours (площадь под кривой «концентрация-время» от нуля до 72 часов): отражает экспозицию препарата в течение первых 72 часов
AUC(0-t),Area under the curve from 0 to t (площадь под кривой «концентрация-время» от нуля до времени t): отражает экспозицию препарата до последнего отбора крови с измеряемой концентрацией
AUC(0-τ),Area under the curve over dosing interval (площадь под кривой «концентрация-время» в интервале дозирования): отражает экспозицию препарата в течение одного интервала дозирования
AUC(0-∞),"Area under the curve from 0 to infinity (площадь под кривой от нуля до бесконечности): отражает общую экспозицию препарата, включая экстраполяцию за пределы последнего отбора крови с измеряемой концентрацией"
AUC(0–10),Area under the curve from 0 to 10 hours (площадь под кривой «концентрация-время» от нуля до 10 часов): отражает экспозицию препарата в течение первых 10 часов
AUC0-24,Area under the curve from 0 to 24 hours (площадь под кривой «концентрация-время» от нуля до 24 часов): отражает экспозицию препарата в течение первых суток
AUC0-3 ч,Area under the curve from 0 to 3 hours (площадь под кривой «концентрация-время» от нуля до 3 часов): отражает экспозицию препарата в течение первых 3 часов
AUC0-t,Area under the curve from 0 to t (площадь под кривой «концентрация-время» от нуля до времени t): отражает экспозицию препарата до последнего отбора крови с измеряемой концентрацией
AUC0-∞,"Area under the curve from 0 to infinity (площадь под кривой от нуля до бесконечности): отражает общую экспозицию препарата, включая экстраполяцию за пределы последнего отбора крови с измеряемой концентрацией"
AUC0–24,Area under the curve from 0 to 24 hours (площадь под кривой «концентрация-время» от нуля до 24 часов): отражает экспозицию препарата в течение первых суток
"AUC24,ss",Area under the curve over 24 hours at steady state (площадь под кривой «концентрация-время» в равновесном состоянии за 24 часа): отражает экспозицию препарата в равновесном состоянии за сутки
AUC24h,Area under the curve from 0 to 24 hours (площадь под кривой «концентрация-время» от нуля до 24 часов): отражает экспозицию препарата в течение первых суток
AUCinf,"Area under the curve to infinity (площадь под кривой «концентрация-время» до бесконечности): отражает общую экспозицию препарата, включая экстраполяцию за пределы последнего отбора крови с измеряемой концентрацией"
AUCss,Area under the curve at steady state (площадь под кривой «концентрация-время» в равновесном состоянии): отражает экспозицию препарата при достижении равновесного состояния
AUCtau,Area under the curve over dosing interval (площадь под кривой «концентрация-время» в интервале дозирования): отражает экспозицию препарата в течение одного интервала дозирования
AUCtotal,Area under the curve total (общая площадь под кривой «концентрация-время»): общая экспозиция препарата в плазме крови за всё время наблюдения
"AUCτ,ss",Area under the curve over dosing interval at steady state (равновесная площадь под кривой в интервале дозирования): отражает экспозицию препарата в течение одного интервала дозирования в равновесном состоянии
AUEC,Area under the effect curve (площадь под кривой эффекта): измерение связи концентрации препарата с фармакологическим эффектом
AUMC,"Area under the first moment curve (площадь под кривой времени-концентрации): показатель, отражающий задержку препарата в организме"
AZ5104,Лабораторный шифр метаболита осимертиниба
AZ7550,Лабораторный шифр метаболита осимертиниба
AZA,Azathioprine (азатиоприн)
AZD9291,Лабораторный шифр осимертиниба
AZT,Zidovudine (азидотимидин)
Abl,Abelson murine leukemia viral oncogene (протоонкоген абельсона)
Akt,Protein kinase b (протеинкиназа b)
Amax,Maximum activity (максимальная активность): максимальная активность препарата против определенного фактора
Apo,Apolipoprotein (аполипопротеин)
ApoE,Apolipoprotein e (аполипопротеин e)
BA,Bioavailability (биодоступность)
BCLC,Barcelona clinic liver cancer (барселонская система стадирования печеночно-клеточного рака)
