abbreviation,description
14C,Меченый радиоактивным изотопом углерод 
14C-AMG,14C-Alpha-Methyl-Glucopyranoside (14c-альфа-метил-глюкопиранозид)
14C-DOG,14C-Deoxy-Glucose (14c-дезоксиглюкоза)
3T3 NRU,"3T3 Neutral Red Ultraviolet (клеточная линия фибробластов мышей-альбиносов): тест для оценки цитотоксичности, основанный на окрашивании нейтральным красным"
3TC,Lamivudine (ламивудин)
5-HT1b,5-Hydroxytryptamine receptor 1b (рецептор 5-гидрокситриптамина 1b)
A:H exposure,Animal:Human Exposure (сравнение воздействия между животными и человеком)
ABC,Abacavir (абакавир)
ACALA,Acalabrutinib (акалабрутиниб)
ACE,Angiotensin-Converting Enzyme (ангиотензин-превращающий фермент)
ACQ,Asthma Control Questionnaire (опросник по контролю над астмой)
ACR,American College of Rheumatology (американский колледж ревматологии)
ACR20,American College of Rheumatology 20 (достижение 20% улучшения по критериям американского колледжа ревматологии)
ACR30,American College of Rheumatology 30 (достижение 30% улучшения по критериям американского колледжа ревматологии)
ACR50,American College of Rheumatology 50 (достижение 50% улучшения по критериям американского колледжа ревматологии)
ACR70,American College of Rheumatology 70 (достижение 70% улучшения по критериям американского колледжа ревматологии)
ACT,Asthma Control Test (тест по контролю над астмой)
ADA,Adalimumab (адалимумаб)
ADA,American Diabetes Association (американская диабетологическая ассоциация)
ADME,"Absorption, Distribution, Metabolism, and Excretion (всасывание, распределение, метаболизм и выведение)"
AGRP,Agouti-Related Peptide (агути-подобный пептид)
ALBI,Albumin-Bilirubin score (шкала альбумин-билирубин)
AMG,Alpha-Methyl-Glucopyranoside (метилглюкопиранозид)
ANOVA,Analysis Of Variance (дисперсионный анализ)
ANP,Atrial Natriuretic Peptide (предсердный натрийуретический пептид)
ANZUP,Australian and New Zealand Urogenital and Prostate cancer trials group (австралийско-новозеландская группа по изучению урогенитального рака и рака предстательной железы)
AP-1,Activator Protein 1 (активирующий белок 1)
APC,Adenomatous Polyposis Coli (ген аденоматозного полипоза толстой кишки)
APN,Aminopeptidase N (аминопептидаза n)
APP,Amyloid beta Precursor Protein (предшественник бета-амилоида)
AQLQ,Asthma Quality of Life Questionnaire (опросник оценки качества жизни у больных бронхиальной астмой)
AR,Acute Rejection (острое отторжение)
AR+,"Androgen Receptor-positive (позитивная по рецептору андрогена): опухоль, экспрессирующая андрогеновые рецепторы"
ARC,Arcuate nucleus (аркуатное ядро гипоталамуса)
ARNI,Angiotensin Receptor-Neprilysin Inhibitor (ингибитор рецепторов ангиотензина и неприлизина)
ARVPR,Antiretroviral Pregnancy Registry (регистр по применению антиретровирусных препаратов)
ASA,Active Systemic Anaphylaxis (активная общая анафилактическая реакция)
ASAS20,Assessment of Spondyloarthritis international Society 20 (20% улучшение по шкале оценки международного общества по изучению спондилоартритов)
ASCO,American Society Of Clinical oncology (американское общество клинической онкологии)
ASH,American Society of Hematology (американское общество гематологии)
AT-II,Angiotensin Ii (ангиотензин ii)
AT-III,Antithrombin Iii (антитромбин iii)
AT1,Angiotensin ii Type 1 receptor (рецептор ангиотензина ii типа 1)
ATA,Anti-Topoisomerase Antibodies (антитела к топоизомеразе)
ATV,Atazanavir (атазанавир)
ATV/c,"Atazanavir/Cobicistat (атазанавир, бустированный кобицистатом)"
ATV/r,Atazanavir/Ritonavir (атазанавир/ритонавир)
AUC,Area Under the Curve (площадь под кривой «концентрация-время»): суммарная концентрация лекарственного препарата в плазме крови за всё время наблюдения
AUC(0-24),Area Under the Curve from 0 to 24 hours (площадь под кривой «концентрация-время» от нуля до 24 часов): отражает экспозицию препарата в течение первых суток
AUC(0-72),Area Under the Curve from 0 to 72 hours (площадь под кривой «концентрация-время» от нуля до 72 часов): отражает экспозицию препарата в течение первых 72 часов
AUC(0-t),Area Under The Curve from 0 to t (площадь под кривой «концентрация-время» от нуля до времени t): отражает экспозицию препарата до последнего отбора крови с измеряемой концентрацией
AUC(0-τ),Area Under the Curve over dosing interval (площадь под кривой «концентрация-время» в интервале дозирования): отражает экспозицию препарата в течение одного интервала дозирования
AUC(0-∞),"Area Under the Curve from 0 to infinity (площадь под кривой от нуля до бесконечности): отражает общую экспозицию препарата, включая экстраполяцию за пределы последнего отбора крови с измеряемой концентрацией"
AUC(0–10),Area Under the Curve from 0 to 10 hours (площадь под кривой «концентрация-время» от нуля до 10 часов): отражает экспозицию препарата в течение первых 10 часов
AUC0-24,Area Under the Curve from 0 to 24 hours (площадь под кривой «концентрация-время» от нуля до 24 часов): отражает экспозицию препарата в течение первых суток
AUC0-3 ч,Area Under the Curve from 0 to 3 hours (площадь под кривой «концентрация-время» от нуля до 3 часов): отражает экспозицию препарата в течение первых 3 часов
AUC0-t,Area Under The Curve from 0 to t (площадь под кривой «концентрация-время» от нуля до времени t): отражает экспозицию препарата до последнего отбора крови с измеряемой концентрацией
AUC0-∞,"Area Under the Curve from 0 to infinity (площадь под кривой от нуля до бесконечности): отражает общую экспозицию препарата, включая экстраполяцию за пределы последнего отбора крови с измеряемой концентрацией"
AUC0–24,Area Under the Curve from 0 to 24 hours (площадь под кривой «концентрация-время» от нуля до 24 часов): отражает экспозицию препарата в течение первых суток
"AUC24,ss",Area Under the Curve over 24 hours at Steady State (площадь под кривой «концентрация-время» в равновесном состоянии за 24 часа): отражает экспозицию препарата в равновесном состоянии за сутки
AUC24h,Area Under the Curve from 0 to 24 Hours (площадь под кривой «концентрация-время» от нуля до 24 часов): отражает экспозицию препарата в течение первых суток
AUCinf,"Area Under the Curve to Infinity (площадь под кривой «концентрация-время» до бесконечности): отражает общую экспозицию препарата, включая экстраполяцию за пределы последнего отбора крови с измеряемой концентрацией"
AUCss,Area Under the Curve at Steady State (площадь под кривой «концентрация-время» в равновесном состоянии): отражает экспозицию препарата при достижении равновесного состояния
AUCtau,Area Under The Curve over dosing interval (площадь под кривой «концентрация-время» в интервале дозирования): отражает экспозицию препарата в течение одного интервала дозирования
AUCtotal,Area Under The Curve Total (общая площадь под кривой «концентрация-время»): общая экспозиция препарата в плазме крови за всё время наблюдения
"AUCτ,ss",Area Under the Curve over dosing interval at Steady State (равновесная площадь под кривой в интервале дозирования): отражает экспозицию препарата в течение одного интервала дозирования в равновесном состоянии
AUEC,Area Under the Effect Curve (площадь под кривой эффекта): измерение связи концентрации препарата с фармакологическим эффектом
AUMC,"Area Under the first Moment Curve (площадь под кривой времени-концентрации): показатель, отражающий задержку препарата в организме"
AZ5104,Лабораторный шифр метаболита осимертиниба 
AZ7550,Лабораторный шифр метаболита осимертиниба 
AZA,Azathioprine (азатиоприн)
AZD9291,Лабораторный шифр осимертиниба 
AZT,Zidovudine (азидотимидин)
Abl,Abelson murine Leukemia viral oncogene (протоонкоген абельсона)
Akt,Protein Kinase b (протеинкиназа b)
