abbreviation,description
ACR,American College of Rheumatology (Американский колледж ревматологии)
ADA,Adalimumab (Адалимумаб)
ADA,American Diabetes Association (Американская диабетологическая ассоциация)
ADME,"Absorption, Distribution, Metabolism, and Excretion (всасывание, распределение, метаболизм и выведение)"
ANOVA,Analysis of Variance (дисперсионный анализ)
AT1,Angiotensin II Type 1 Receptor (рецептор ангиотензина II типа 1)
ATV/r,Atazanavir/ritonavir (Атазанавир/ритонавир)
AUC,Area Under the Curve (площадь под кривой «концентрация-время»): Суммарная концентрация лекарственного препарата в плазме крови за всё время наблюдения
AUC(0-24),Area Under the Curve from 0 to 24 hours (площадь под кривой «концентрация-время» от нуля до 24 часов): Отражает экспозицию препарата в течение первых 24 часов
AUC0-24,Area Under the Curve from 0 to 24 hours (площадь под кривой «концентрация-время» от нуля до 24 часов): Отражает экспозицию препарата в течение первых 24 часов
AUC(0-t),Area Under the Curve from 0 to t (площадь под кривой «концентрация-время» от нуля до времени t): Отражает экспозицию препарата до последнего отбора крови с измеряемой концентрацией
AUC0-t,Area Under the Curve from 0 to t (площадь под кривой «концентрация-время» от нуля до времени t): Отражает экспозицию препарата до последнего отбора крови с измеряемой концентрацией
AUC0-tz,Area Under the Curve from 0 to t (площадь под кривой «концентрация-время» от нуля до времени t): Отражает экспозицию препарата до последнего отбора крови с измеряемой концентрацией
AUC(0-∞),"Area Under the Curve from 0 to infinity (площадь под кривой от нуля до бесконечности): Отражает общую экспозицию препарата, включая экстраполяцию за пределы последнего отбора крови с измеряемой концентрацией"
AUC0-∞,"Area Under the Curve from 0 to infinity (площадь под кривой от нуля до бесконечности): Отражает общую экспозицию препарата, включая экстраполяцию за пределы последнего отбора крови с измеряемой концентрацией"
BCR,"Breakpoint Cluster Region (область кластерного разрыва): Участок ДНК, кодирующий одноименный белок"
BCR,B Cell Receptor (В-клеточный рецептор)
BCRP,Breast Cancer Resistance Protein (белок резистентности рака молочной железы)
BCS,Biopharmaceutics Classification System (биофармацевтическая классификационная система)
BR,Bendamustine with Rituximab (бендамустин в комбинации с ритуксимабом)
BRAF,"B-raf Proto-oncogene, Serine/Threonine Kinase (серин/треониновая протеинкиназа B-raf)"
BSA,Body Surface Area (площадь поверхности тела)
BSEP,Bile Salt Export Pump (белок-переносчик солей желчных кислот)
CDAI,Clinical Disease Activity Index (индекс клинической активности заболевания)
CHMP,Committee for Medicinal Products for Human Use (Комитет по лекарственным средствам для медицинского применения)
CHO,Chinese Hamster Ovary (клетки яичников китайского хомяка)
CL,"Clearance (клиренс): Показатель, характеризующий скорость выведения лекарственного вещества из плазмы крови"
Cl,"Clearance (клиренс): Показатель, характеризующий скорость выведения лекарственного вещества из плазмы крови"
CL/F,"Apparent Clearance (кажущийся клиренс): Общий клиренс лекарственного вещества после внесосудистого введения, учитывающий биодоступность (F)"
CLCR,Creatinine Clearance (клиренс креатинина)
CTCAE,Common Terminology Criteria for Adverse Events (Общие критерии оценки степени тяжести нежелательных явлений)
CV,"Coefficient of Variation (коэффициент вариации): Статистическая мера относительной изменчивости данных, выраженная в процентах"
CVintra,Intraindividual variability (внутрииндивидуальная вариабельность): Мера изменчивости показателей у одного и того же индивида
CYP,Cytochrome P450 (Цитохром P450)
CYP450,Cytochrome P450 (Цитохром P450)
Child – Pugh,Child-Pugh Classification (классификация Чайлда-Пью): Метод оценки тяжести цирроза печени и прогнозирования выживаемости пациента на основе клинических и лабораторных показателей
Cmax,"Maximum Concentration (максимальная концентрация): Наибольшая концентрация лекарственного вещества, достигаемая в плазме крови"
Cmaxss,"Maximum Steady-State Concentration (максимальная концентрация в равновесном состоянии): Наибольшая концентрация лекарственного вещества, достигаемая в плазме в течение дозировочного интервала при установившемся равновесии"
Cmin,Minimum Concentration (минимальная концентрация): Наименьшая наблюдаемая концентрация лекарственного вещества в плазме крови
DRESS,Drug Reaction with Eosinophilia and Systemic Symptoms (лекарственная реакция с эозинофилией и системными проявлениями)
DRV/r,Darunavir/ritonavir (дарунавир/ритонавир)
EACS,European AIDS Clinical Society (Европейское клиническое общество по СПИДу)
