abbreviation,description
14C,Меченый радиоактивным изотопом углерод
14C-AMG,14c-альфа-метил-глюкопиранозид(14c-alpha-methyl-glucopyranoside)
14C-DOG,14c-дезоксиглюкоза (14c-desoxy-glucose)
3TC,Ламивудин
3Т3 NRU,"3т3 neutral red ultraviolet, клеточная линия фибробластов мышей-альбиносов (3т3), подвергаемая витальному воздействию красителя нейтрального красного и регистрации ультрафиолетового излучения от клеток"
5-HT1b,Рецептор 5-гидрокситриптамина 1b
6-МТХ,Тест с шестиминутной ходьбой
A:H exposure,Сравнение воздействия между животными и человеком (animal:human exposure multiple)
AAG,Α1-кислый гликопротеин (α1-acid glycoprotein)
ABC,Абакавир
ACALA,Акалабрутиниб
ACE,"Angiotensin-converting enzyme, ангиотензинпревращающий фермент"
ACQ,Опросник по контролю над астмой (asthma control questionnaire)
ACR,Американский колледж ревматологии (american college rheumatology)
ACR,"Критерии ревматоидного артрита, разработанные американской коллегии ревматологов"
ACR20,Достижение 20% улучшения в соответствии с критериями американского колледжа ревматологии (american college rheumatology)
ACR20/50/70,Улучшение на 20/50/70% по данным критерия американского колледжа ревматологии
ACR30,Достижение 30% улучшения в соответствии с критериями американского колледжа ревматологии (american college rheumatology)
ACR50,Достижение 50% улучшения в соответствии с критериями американского колледжа ревматологии (american college rheumatology)
ACR70,Достижение 70% улучшения в соответствии с критериями американского колледжа ревматологии (american college rheumatology)
ACT,Тест по контролю над астмой (asthma control тest)
ADA,Адалимумаб
ADA,Американская диабетологическая ассоциация
ADME,"Аbsorption, distribution, metabolism and excretion; всасывание, распределение, метаболизм и выведение"
ADME,"Исследования баланса масс: абсорбция, распределение, метаболизм, экскреция"
ADME,"Исследования всасывания, распределения, метаболизма и экскреции"
AGRP,Агути-подобный пептид
ALBI,Шкала альбумин-билирубин
AMG,Метилглюкопиранозид
ANOVA,Дисперсионный анализ
ANOVA,Дисперсионный анализ (analysis of variance)
ANP,"Atrial natriuretic peptide, предсердный натрийуретический пептид"
ANZUP,Австралийско-новозеландская группа по изучению урогенитального рака и рака предстательной железы (australian and new zealand urogenital and prostate cancer trials group)
AP-1,Активирующий белок 1
APC,"Ген аденоматозного полипоза толстой кишки (adenomatous polyposis coli,)"
APN,"Aminopeptidase n, аминопептидаза n"
APP,"Amyloid beta precursor protein, прекусор бета-амилоиды"
AQLQ,Опросник оценки качества жизни у больных бронхиальной астмой (asthma quality of life questionnaire)
AR,Острое отторжение
AR+,Позитивная по рецептору андрогена [опухоль]
ARC,Аркуатное ядро гипоталамуса
ARNI,"Angiotensin receptor-neprilysin inhibitor, ингибитор рецепторов ангиотензина и неприлизина"
ARVPR,Регистра по применению антиретровирусных препаратов(the antiretroviral pregnancy registry)
ASA,Активная общая анафилактическая реакция (active systemic anaphylaxis)
ASAS20,20% улучшение по шкале оценки международного общества по изучению спондилоартритов (assessment of spondyloarthritis international society)
ASCO,Американское общество клинической онкологии
ASH,American society of hematology
AT1,"Angiotensin 1, ангиотензин ii типа 1"
AT1,Антагонисты рецепторов ангиотензина ii (at1-подтип)
ATA,Антитела к топоизомеразе
ATV,Атазанавир
ATV/c,"Атазанавир, бустированный  кобицистатом"
ATV/r,"Атазанавир, бустированный ритонавиром"
ATV/r,Атазанавир/ ритонавир
ATX,Анатомо-терапевтическо-химическая классификация
AUC,Area under curve/площадь под кривой «концентрация-время»
AUC,"Area under the curve, площадь под кривой – фармакокинетический параметр, характеризующий суммарную концентрацию лекарственного препарата в плазме крови в течение определенного времени наблюдения"
AUC,"Area under the curve, площадь под кривой, суммарная концентрация лекарственного препарата в плазме крови в течение всего времени наблюдения"
AUC,«area under curve» - площадь под кривой «концентрация-время»
AUC,Площадь под кривой «концентрация в плазме — время»
AUC,Площадь под кривой «концентрация-время»
AUC,Площадь под кривой «плазменная концентрация — время»
AUC,Площадь под кривой зависимости «концентрация в плазме крови - время»
AUC,Площадь под кривой зависимости концентрации в плазме от времени
AUC,Площадь под кривой зависимости концентрации от времени
AUC,Площадь под фармакокинетической кривой «концентрация – время»
AUC,Площадь под фармакокинетической кривой «концентрация-время»
AUC,Площадь под фармакокинетической кривой «плазменная концентрация–время»
AUC(0-24),Площадь под фармакокинетической кривой «концентрация – время» от начального момента времени до 24 ч
AUC(0-24),Площадь под фармакокинетической кривой «концентрация-время» от начального момента времени до 24 ч после введения
AUC(0-72),"Площадь под фармакокинетической кривой «концентрация-время» от нуля до 72 часов; auc, усеченная в точке 72 часа"
AUC(0-t),Площадь под кривой «плазменная концентрация-время» с момента приема препарата до последней точки
AUC(0-t),Площадь под фармакокинетической кривой «концентрация-время» от начального момента времени до последней определяемой концентрации во временной точке t
AUC(0-t),Площадь под фармакокинетической кривой «концентрация-время» от нуля до последнего отбора крови при котором концентрация препарата равна или выше нижнего предела количественного определения
AUC(0-t),"Площадь под фармакокинетической кривой «концентрация-время» от нуля до последнего отбора крови, при котором концентрация препарата равна или выше нижнего предела количественного определения"
AUC(0-τ),Равновесная площадь под кривой в интервале дозирования
AUC(0-∞),Площадь под кривой «плазменная концентрация-время» с момента приема препарата до бесконечности
AUC(0-∞),Площадь под фармакокинетической кривой «концентрация – время» от начального момента времени до бесконечности
AUC(0-∞),Площадь под фармакокинетической кривой «концентрация-время» от начального момента времени до бесконечности
AUC(0-∞),"Площадь под фармакокинетической кривой «концентрация-время», рассчитанная от нуля до бесконечности"
AUC(0–10),Площадь под фармакокинетической кривой «концентрация-время» от начального момента времени до 10 ч
AUC0-24,Площадь под кривой зависимости концентрации в плазме крови от времени от 0 до 24 часов после введения препарата
AUC0-24,Площадь под фармакокинетической кривой «концентрация-время» от 0 до 24 ч
AUC0-3 ч,"Площадь под фармакокинетической кривой, начиная с нулевого значения времени до 3 часов"
AUC0-t,Площадь под фармакокинетической кривой «концентрация-время» от нуля до последнего отбора крови при котором концентрация препарата равна или выше нижнего предела количественного определения
AUC0-t,"Площадь под фармакокинетической кривой «концентрация-время» от нуля до последнего отбора крови, при котором концентрация препарата равна или выше нижнего предела количественного определения"
AUC0-tz,Площадь под кривой зависимости концентрации в плазме от времени в течение временного интервала от нуля до последней поддающейся количественному определению временной точки/концентрации
AUC0-tz,Площадь под фармакокинетической кривой «концентрация-время» от нуля до последней поддающейся количественному измерению концентрации
