abbreviation,description
14C,Меченый радиоактивным изотопом углерод
14C-AMG,14C-Alpha-Methyl-Glucopyranoside (14C-альфа-метил-глюкопиранозид)
14C-DOG,14C-Deoxy-Glucose (14C-дезоксиглюкоза)
3TC, Lamivudine (Ламивудин)
3Т3 NRU,"3T3 Neutral Red Ultraviolet (клеточная линия фибробластов мышей-альбиносов): Тест для оценки цитотоксичности, основанный на окрашивании нейтральным красным"
5-HT1b,5-Hydroxytryptamine Receptor 1b (рецептор 5-гидрокситриптамина 1b)
A:H exposure,Animal:Human Exposure (сравнение воздействия между животными и человеком)
AAG,Alpha-1-Acid Glycoprotein (α1-кислый гликопротеин)
ABC,Abacavir (Абакавир)
ACALA,Acalabrutinib (Акалабрутиниб)
ACE,Angiotensin-Converting Enzyme (ангиотензин-превращающий фермент)
ACQ,Asthma Control Questionnaire (опросник по контролю над астмой)
ACR20,American College of Rheumatology 20 (достижение 20% улучшения по критериям американского колледжа ревматологии)
ACR30,American College of Rheumatology 30 (достижение 30% улучшения по критериям американского колледжа ревматологии)
ACR50,American College of Rheumatology 50 (достижение 50% улучшения по критериям американского колледжа ревматологии)
ACR70,American College of Rheumatology 70 (достижение 70% улучшения по критериям американского колледжа ревматологии)
ACT,Asthma Control Test (тест по контролю над астмой)
AGRP,Agouti-Related Peptide (агути-подобный пептид)
ALBI,Albumin-Bilirubin Score (шкала альбумин-билирубин)
AMG,Alpha-Methyl-Glucopyranoside (метилглюкопиранозид)
ANP,Atrial Natriuretic Peptide (предсердный натрийуретический пептид)
ANZUP,Australian and New Zealand Urogenital and Prostate Cancer Trials Group (Австралийско-новозеландская группа по изучению урогенитального рака и рака предстательной железы)
AP-1,Activator Protein 1 (активирующий белок 1)
APC,Adenomatous Polyposis Coli (ген аденоматозного полипоза толстой кишки)
APN,Aminopeptidase N (аминопептидаза N)
APP,Amyloid Beta Precursor Protein (предшественник бета-амилоида)
AQLQ,Asthma Quality of Life Questionnaire (опросник оценки качества жизни у больных бронхиальной астмой)
AR,Acute Rejection (острое отторжение)
AR+,"Androgen Receptor-Positive (позитивная по рецептору андрогена): Опухоль, экспрессирующая андрогеновые рецепторы"
ARC,Arcuate Nucleus (аркуатное ядро гипоталамуса)
ARNI,Angiotensin Receptor-Neprilysin Inhibitor (ингибитор рецепторов ангиотензина и неприлизина)
ARVPR,Antiretroviral Pregnancy Registry (регистр по применению антиретровирусных препаратов)
ASA,Active Systemic Anaphylaxis (активная общая анафилактическая реакция)
ASAS20,Assessment of Spondyloarthritis International Society 20 (20% улучшение по шкале оценки международного общества по изучению спондилоартритов)
ASCO,American Society of Clinical Oncology (Американское общество клинической онкологии)
ASH,American Society of Hematology (Американское общество гематологии)
ATA,Anti-Topoisomerase Antibodies (антитела к топоизомеразе)
ATV,Atazanavir (Атазанавир)
ATV/c,"Atazanavir/Cobicistat (Атазанавир, бустированный кобицистатом)"
AUC(0-72),Area Under the Curve from 0 to 72 hours (площадь под кривой «концентрация-время» от нуля до 72 часов): Отражает экспозицию препарата в течение первых 72 часов
AUC(0-τ),Area Under the Curve Over Dosing Interval (площадь под кривой «концентрация-время» в интервале дозирования): Отражает экспозицию препарата в течение одного интервала дозирования
AUC(0–10),Area Under the Curve from 0 to 10 hours (площадь под кривой «концентрация-время» от нуля до 10 часов): Отражает экспозицию препарата в течение первых 10 часов
AUC0-3 ч,Area Under the Curve from 0 to 3 hours (площадь под кривой «концентрация-время» от нуля до 3 часов): Отражает экспозицию препарата в течение первых 3 часов
AUC0–24,Area Under the Curve from 0 to 24 hours (площадь под кривой «концентрация-время» от нуля до 24 часов): Отражает экспозицию препарата в течение первых 24 часов
"AUC24,ss",Area Under the Curve Over 24 Hours at Steady State (площадь под кривой «концентрация-время» в равновесном состоянии за 24 часа): Измерение экспозиции препарата в устойчивом состоянии за сутки
AUC24h,Area Under the Curve from 0 to 24 hours (площадь под кривой «концентрация-время» от нуля до 24 часов): Отражает экспозицию препарата в течение первых 24 часов
AUCinf,"Area Under the Curve to Infinity (площадь под кривой «концентрация-время» до бесконечности): Отражает общую экспозицию препарата, включая экстраполяцию за пределы последнего отбора крови с измеряемой концентрацией"
AUCss,Area Under the Curve at Steady State (площадь под кривой «концентрация-время» в равновесном состоянии): Отражает экспозицию препарата при достижении равновесного состояния
AUCtau,Area Under the Curve Over Dosing Interval (площадь под кривой «концентрация-время» в интервале дозирования): Отражает экспозицию препарата в течение одного интервала дозирования
AUCtotal,Area Under the Curve Total (общая площадь под кривой «концентрация-время»): Общая экспозиция препарата в плазме крови за всё время наблюдения
"AUCτ,ss",Area Under the Curve Over Dosing Interval at Steady State (равновесная площадь под кривой в интервале дозирования): Отражает экспозицию препарата в течение одного интервала дозирования в равновесном состоянии
AUEC,Area Under the Effect Curve (площадь под кривой эффекта): Измерение связи концентрации препарата с фармакологическим эффектом
AUMC,"Area Under the First Moment Curve (площадь под кривой времени-концентрации): Показатель, отражающий задержку препарата в организме"
AZ5104,Лабораторный шифр метаболита осимертиниба
AZ7550,Лабораторный шифр метаболита осимертиниба
AZA,Azathioprine (Азатиоприн)
AZD9291,Лабораторный шифр осимертиниба
AZT,Zidovudine (Азидотимидин)
Abl,Abelson Murine Leukemia Viral Oncogene (протоонкоген Абельсона)
Akt,Protein Kinase B (протеинкиназа B)
Amax,Maximum Activity (максимальная активность): Максимальная активность препарата против определенного фактора
Apo,Apolipoprotein (аполипопротеин)
ApoE,Apolipoprotein E (аполипопротеин E)
BCLC,Barcelona clinic liver cancer (барселонская система стадирования) печеночно-клеточного рака
BCOP,Анализ прозрачности / непрозрачности бычьей роговицы
BCR-ABL,Мутированный киназный рецептор
BCR-Abl,Bcr-abl-тирозинкиназа
BDC,Канюлированный желчный проток
BIBF 1202,Метаболит нинтеданиба
BIC,Биктегравир
BIC/B,Биктагревир
BIC/FTC/TAF,Биктегравир/тенофовир алафенамид/эмтрицитабин
BICR,Независимая централизованная оценка в слепом режиме (blinded independent central review)
BLC,Клетки базофильного лейкоза (basophilic leukemia cells)
BMMC,Тучныеклеткикостногомозгамышей (bone marrow-derived mast cells)
BNP,"B-type natriuretic peptide, b-тип натрийуретический пептид"
BONF,Нейротрофический фактор из тканей мозга
BOV,Дисперсия между событиями
BPAR,Подтвержденные биопсией эпизоды острого отторжения
BPI,Краткий опросник оценки боли (brief pain inventory short form)
BRCA,Ген рака молочной железы (breast cancer gene)
BSC,Наилучшая поддерживающая терапия
BSV,Межсубъектная вариабельность
BTK/ТКБ,Тирозинкиназа брутона
BUN,"Биохимический показатель, характеризующий уровень содержания мочевины в крови (blood urea nitrogen)"
BVDV,Вирус диареи крупного рогатого скота
BZD,Бензодиазепины
"Bethesda Thyroid Classification,",Стандартизированная система описания протокола цитологического исследования пунктатов щитовидной железы.
