abbreviation,description
125I-бевацизумаб,"Бевацизумаб, меченный радиоактивным изотопом йода"
AUC,"Area Under the Curve, площадь под кривой, суммарная концентрация лекарственного препарата в плазме крови в течение всего времени наблюдения"
AUC,Площадь под фармакокинетической кривой «концентрация-время»
AUC0-336,Площадь под фармакокинетической кривой «концентрация-время» на протяжении 336 ч от момента введения препарата
AUC0-t,Площадь под фармакокинетической кривой «концентрация-время» от нуля до последнего отбора крови при котором концентрация препарата равна или выше нижнего предела количественного определения
AUC0-∞,Площадь под фармакокинетической кривой «концентрация-время» от момента введения препарата до бесконечности
AUC0-∞,"Площадь под фармакокинетической кривой «концентрация-время», рассчитанная от нуля до бесконечности"
AUCss,Площади под фармакокинетической кривой «концентрация-время» в плазме крови после достижения препаратом стационарного состояния
CL/F,Общий плазменный клиренс
CTCAE,Общая терминология критериев нежелательных явлений (Common Terminology Criteria for Adverse Events)
CV,"Сoefficient of variation, коэффициент вариации"
CYP,"Cytochrome P, цитохром Р"
Cinf,Концентрация в конце инфузии
Cmax,Максимальная концентрация препарата в плазме крови
"Cmax, ss",Средние максимальные концентрации в плазме крови после достижения стационарного состояния
ECOG,Восточная объединённая онкологическая группа США (Eastern Cooperative Oncology Group)
EGFR,Рецептор эпидермального фактора роста (Epidermal Growth Factor Receptor)
EORTC,European Organisation for Research and Treatment of Cancer
EORTC,Европейская организация исследований по лечению онкологических заболеваний (European Organization for Research on the Treatment of Cancer)
FAS,Полный набор данных для анализа (Full Analysis set)
FDA,"Food and Drug Administration, управление по санитарному надзору за качеством пищевых продуктов и медикаментов"
GCP,"Good Clinical Practice, Надлежащая клиническая практика"
GCP,Надлежащая Клиническая Практика (Good Clinical Practice)
GLP,"Good Laboratory Practice, Надлежащая лабораторная практика"
HBs-Ag,Поверхностный антиген вируса гепатита B (hepatitis В surface antigen)
HUVEC,Клетки эндотелия пупочной вены человека (Human Umbilical Vein Endothelial Cell).
Hb,Гемоглобин
IC50,"Inhibition concentration, концентрация полумаксимального ингибирования (IC50)"
ICH,Международная конференция по гармонизации (International Conference on Harmonization)
IFL,Химиотерапия комбинацией иринотекан + фторурацил + фолиновая кислота (лейковорин)
ITT,набор данных в зависимости от исходно назначенного лечения (Intention-to-Treat)
IgG,Иммуноглобулин класса G (immunoglobulin G)
IgG1,Иммуноглобулин класса G1 (immunoglobulin G1)
LLOQ,"Lower limit of quantitation, нижний предел количественного определения"
MSDS,"Material Safety Data Sheet, паспорт безопасности"
MedDRA,Словарь медицинских терминов для регуляторной деятельности (Medical Dictionary for Regulatory Activities)
N.B.!,Nota bene! Важно!
NCI-CTCAE,Оценочная шкала общих критериев токсичности Национального института исследования рака (National Cancer Institute Common toxicity Criteria)
NOAEL,"No observed adverse effect level, максимальная доза препарата, не приводящая к развитию наблюдаемых нежелательных эффектов"
NYHA,Классификация сердечной недостаточности Нью-Йорской Ассоциации Кардиологов (New York Heart Association)
PP,Набор данных «по протоколу» (per protocol)
R-CHOP,Терапия ригуксимаб / циклофосфамид / доксорубицин / винкристин / преднизолон
RANKL,Рецептор активатор ядерного фактора каппа Β лиганд / Receptor activator of nuclear factor kappa-Β ligand
RECIST,Response evaluation criteria in solid tumours
RECIST,Критерии ответа на терапию при солидных опухолях (response evaluation criteria in solid tumors)
T1/2,Период полувыведения
TNM,"Медународная классификация стадий злокачественных новообразований (tumor, nodus и metastasis)"
Tmax,Время достижения максимальной концентрации
VEGF,Фактор роста сосудистого эндотелия (Vascular Endothelial Cell Growth Factor)
VEGFR 2,Рецептор фактора роста сосудистого эндотелия 2 (vascular endothelial growth factor receptor 2)
Vc,Объем распределения в центральной камере
Vp,Объем распределения в периферической камере
mFOLFOX,"Модифицированная комбинация препаратов при химиотерапии состоит из оксалиплатина, 5-фторурацила и левофолиновой кислоты (modified, Levofolinic acid, 5-Fluorouracil and oxaliplatin)"
mITT,Модифицированный набор данных в зависимости от исходно назначенного лечения (Modified Intention-to-Treat)
pKa,Константа диссоциации
t1/2,Период полувыведения
α,Граничная величина ошибки первого рода (уровень значимости)
β,Граничная величина ошибки второго рода
β-ХГЧ,Бета хорионический гонадотропин человека
δ,Полуширина зоны эквивалентности
ε,Наблюдаемая разность между средними
"σl,1",Стандартное отклонение для межсубъектного сравнения
АД,Артериальное давление
АЛТ,Аланинаминотрансфераза
АЛТ,Аланинаминотрасфераза
АО,Акционерное общество
АПФ,Ангиотензин-превращающий фермент
АПФ,Ангиотензинпревращающий фермент
АСТ,Аспартатаминотрансфераза
АТФазы,Аденозинтрифосфатазы
АТХ,Анатомо-терапевтическо-химическая классификация
АЧТВ,Активированное частичное тромбопластиновое время
Аббревиатура,Расшифровка
БАК,Биохимический анализ крови
БПВ,Безпрогрессивная выживаемость
БРВ,Безрецидивная выживаемость
ВИ,Взвешенное изображение
ВМА,Всемирная Медицинская Ассоциация
ВОЗ,Всемирная организация здравоохранения
ГБУЗ,Государственное бюджетное учреждение здравоохранения
ГГТ,Гамма-глутамилтранспептидаза
ГТФ,Гуанозинтрифосфат
ДДКР,Департамент доклинической и клинической разработки
ДЗМ,Департамент здравоохранения города Москвы
ДИ,Доверительный интервал
ДН,Дыхательная недостаточность
ДНК,Дезоксирибонуклеиновая кислота
ЕАЭС,Евразийский Экономический Союз
ЕАЭС,Евразийский экономический союз
ЕЭК,Евразийская Экономическая Комиссия
ЖКТ,Желудочно-кишечный тракт
ЗЦНК,Заслепленный центральный независимый комитет по оценке опухолевого ответа
ИВЛ,Искусственная вентиляция легких
ИЛ,Интерлейкин
ИМТ,Индекс массы тела
ИРК,Индивидуальная регистрационная карта
ИФН,Интерферон
КАК,Клинический анализ крови
КВ,Коэффициент вариации
КЗ,Клинически значимые
КИ,Клиническое исследование
КИ ПФ,Клинические исследования поздних фаз
КК,Клиренс креатинина
КНЗ,Клинически незначимые
КТ,Компьютерная томография
КФК,Креатинфосфокиназа
ЛC,Лекарственное средство
ЛД50,"Летальная доза, приводящая к гибели 50% животных"
ЛД50,Среднелетальная доза
ЛПНП,липопротеидов низкой плотности
МАГА,Микроангиопатическая гемолитическая анемия
МД,Медицинская дирекция
МЗ,Министерство Здравоохранения
МКД,Межквартильный диапазон (нижний и верхний квартили)
МКПК,Мононуклеарные клети периферической крови человека
МЛД,Минимальная летальная доза
МНН,Международное непатентованное название
МНН,Международное непатентованное наименование
МНО,Международное нормализованное отношение
МРД,Местнораздражающее действие
МРТ,Магнитно-резонансная томография
МСКТ,Мультиспиральная компьютерная томография
Макс,Максимум
Мин,Минимум
Минздрав России,Министерство здравоохранения Российской Федерации
НИВЛ,Неинвазивная вентиляция легких
НКП,Надлежащая Клиническая Практика
НЛР,Нежелательные лекарственные реакции
НМГ,Низкомолекулярные гепарины
НМРЛ,Немелкоклеточный рак легкого
НО,Невозможно оценить
НО,Невозможно оценить ответ на основании имеющихся данных
НПВП,Нестероидные противовоспалительные препараты
НПКО,Нижний предел количественного определения
НПКЦ ДиТ ДЗМ,Научно-практический клинический центр диагностики и телемедицинских технологий Департамента здравоохранения города Москвы
НТ,Серотониновые рецепторы
НЭК,Независимый этический комитет
НЯ,Нежелательное явление
НЯ/СНЯ,Нежелательное/серьезное нежелательное явление
ОАК,Общий анализ крови
ОАМ,Общий анализ мочи
ОВ,Общая выживаемость
ОДН,Острая дыхательная недостаточность
ОК,Обеспечение качества
ОЛКИ,Отдел локальных клинических исследований
ОМД,Отдел медицинской документации
ООО,Общество с ограниченной ответственностью
ОР,Отношение рисков
ОРИТ,Отделение реанимации и интенсивной терапии
ПЗ,Прогрессирование
ПЗ,Прогрессирование заболевания
ПО,Полный ответ
ППТ,Площадь поверхности тела
ПР,Прогрессирование заболевания
ПТВ,Протромбиновое время
ПЭТ/КТ,"Позитронно-эмиссионная томография, совмещенная с компьютерной томографией"
Препарат А/ Препарат Б,"Условное наименование для препаратов пембролизумаба (RPH-075/ Китруда), введенное для разделения терапевтических групп субъектов с целью сохранения заслепления при подготовке отчета в соответствии с пунктом 4.3 протокола исследования № CL01860211 версии 1.0 от 21 июня 2023 г."
РКИ,Рандомизированные клинические исследования
РМЖ,Рак молочной железы
РНК,Рибонуклеиновая кислота
РФ,Российская Федерация
СД,Сумма диаметров
СЗ,Стабилизация
СЗОЭ,Синдром задней обратимой энцефалопатии
СКФ,Скорость клубочковой фильтрации
СНЯ,Серьезное нежелательное явление
СО,Стандартное отклонение
СОП,Стандартная операционная процедура
СОЭ,Скорость оседания эритроцитов
СРБ,С-реактивный белок
СТ,Стабилизация заболевания
США,Соединенные Штаты Америки
Ср геометр.,Среднее геометрическое значение
Т1-ВИ,Т1-взвешенное изображение
Т2-ВИ,Т2-взвешенное изображение
ТЭЛА,Тромбоэмболия легочной артерии
ФИО,Фамилия Имя Отчество
ФК,Фармакокинетика
ФК-исследование,Фармакокинетическое исследование
ФСГ,Фолликулостимулирующий гормон
ХСН,Хроническая сердечная недостаточность
ЦНК,Центральный независимый комитет по пересмотру КТ/МРТ изображений
ЦНС,Центральная нервная система
ЧДД,Частота дыхательных движений
ЧКЗ,Частота достижения контроля над заболеванием
ЧО,Частичный ответ
ЧОО,Частота объективного ответа
ЧСС,Частота сердечных сокращений
ЩФ,Щелочная фосфатаза
ЭГДС,Эзофагогастродуоденоскопия
ЭКГ,Электрокардиография
анти-HCV,Антитела к антигенам вируса гепатита C (антитела к hepаtitis C virus)
анти-ВИЧ,Антитела к антигенам вируса иммунодефицита человека
эИРК,Электронная индивидуальная регистрационная карта
